"ID"	"adm_1_name"	"adm_2_name"	"full_name"	"FAO_GAUL_code"	"adm2_std"	"adm1_std"	"ADM2_PCODE"
540	"BOLIVAR"	"SAN JUAN NEPOMUCENO"	"COLOMBIA, BOLIVAR, SAN JUAN NEPOMUCENO"	13522	"san juan nepomuceno"	"bolivar"	"CO13657"
541	"VALLE"	"TULUA"	"COLOMBIA, VALLE, TULUA"	14401	"tulua"	"valle"	"CO76834"
542	"NARINO"	"ANCUYA"	"COLOMBIA, NARINO, ANCUYA"	14062	"ancuya"	"narino"	"CO52036"
543	"CAUCA"	"MERCADERES"	"COLOMBIA, CAUCA, MERCADERES"	13738	"mercaderes"	"cauca"	"CO19450"
545	"CUNDINAMARCA"	"NIMAIMA"	"COLOMBIA, CUNDINAMARCA, NIMAIMA"	13896	"nimaima"	"cundinamarca"	"CO25489"
546	"CUNDINAMARCA"	"TOCAIMA"	"COLOMBIA, CUNDINAMARCA, TOCAIMA"	13933	"tocaima"	"cundinamarca"	"CO25815"
547	"SANTANDER"	"COROMORO"	"COLOMBIA, SANTANDER, COROMORO"	14229	"coromoro"	"santander"	"CO68217"
548	"SANTANDER"	"CEPITA"	"COLOMBIA, SANTANDER, CEPITA"	14219	"cepita"	"santander"	"CO68160"
549	"ANTIOQUIA"	"ENVIGADO"	"COLOMBIA, ANTIOQUIA, ENVIGADO"	13386	"envigado"	"antioquia"	"CO05266"
550	"ANTIOQUIA"	"TAMESIS"	"COLOMBIA, ANTIOQUIA, TAMESIS"	13448	"tamesis"	"antioquia"	"CO05789"
551	"META"	"SAN JUAN DE ARAMA"	"COLOMBIA, META, SAN JUAN DE ARAMA"	14055	"san juan de arama"	"meta"	"CO50683"
552	"VALLE"	"FLORIDA"	"COLOMBIA, VALLE, FLORIDA"	14383	"florida"	"valle"	"CO76275"
553	"GUAINIA"	"SAN FELIPE"	"COLOMBIA, GUAINIA, SAN FELIPE"	13957	"san felipe"	"guainia"	"CO94883"
554	"BOLIVAR"	"BARRANCO DE LOBA"	"COLOMBIA, BOLIVAR, BARRANCO DE LOBA"	13500	"barranco de loba"	"bolivar"	"CO13074"
555	"CAUCA"	"SAN SEBASTIAN"	"COLOMBIA, CAUCA, SAN SEBASTIAN"	13749	"san sebastian"	"cauca"	"CO19693"
556	"CUNDINAMARCA"	"CACHIPAY"	"COLOMBIA, CUNDINAMARCA, CACHIPAY"	13846	"cachipay"	"cundinamarca"	"CO25123"
557	"MAGDALENA"	"SANTA BARBARA DE PINTO"	"COLOMBIA, MAGDALENA, SANTA BARBARA DE PINTO"	14027	"santa barbara de pinto"	"magdalena"	"CO47720"
558	"META"	"EL DORADO"	"COLOMBIA, META, EL DORADO"	14039	"el dorado"	"meta"	"CO50270"
559	"SANTANDER"	"GAMBITA"	"COLOMBIA, SANTANDER, GAMBITA"	14240	"gambita"	"santander"	"CO68298"
560	"SUCRE"	"MAJAGUAL"	"COLOMBIA, SUCRE, MAJAGUAL"	14302	"majagual"	"sucre"	"CO70429"
562	"NORTE SANTANDER"	"LABATECA"	"COLOMBIA, NORTE SANTANDER, LABATECA"	14145	"labateca"	"norte santander"	"CO54377"
563	"TOLIMA"	"CASABIANCA"	"COLOMBIA, TOLIMA, CASABIANCA"	14326	"casabianca"	"tolima"	"CO73152"
564	"ANTIOQUIA"	"TOLEDO"	"COLOMBIA, ANTIOQUIA, TOLEDO"	13452	"toledo"	"antioquia"	"CO05819"
565	"NARINO"	"LA TOLA"	"COLOMBIA, NARINO, LA TOLA"	14091	"la tola"	"narino"	"CO52390"
566	"ATLANTICO"	"PONEDERA"	"COLOMBIA, ATLANTICO, PONEDERA"	13486	"ponedera"	"atlantico"	"CO08560"
567	"MAGDALENA"	"CHIVOLO"	"COLOMBIA, MAGDALENA, CHIVOLO"	14013	"chivolo"	"magdalena"	"CO47170"
568	"CORDOBA"	"SAN ANTERO"	"COLOMBIA, CORDOBA, SAN ANTERO"	13829	"san antero"	"cordoba"	"CO23672"
569	"BOLIVAR"	"MOMPOS"	"COLOMBIA, BOLIVAR, MOMPOS"	13514	"mompos"	"bolivar"	"CO13468"
570	"ANTIOQUIA"	"ARMENIA"	"COLOMBIA, ANTIOQUIA, ARMENIA"	13355	"armenia"	"antioquia"	"CO05059"
571	"TOLIMA"	"PIEDRAS"	"COLOMBIA, TOLIMA, PIEDRAS"	14348	"piedras"	"tolima"	"CO73547"
572	"VICHADA"	"LA PRIMAVERA"	"COLOMBIA, VICHADA, LA PRIMAVERA"	14415	"la primavera"	"vichada"	"CO99524"
574	"NARINO"	"FRANCISCO PIZARRO (SALAHONDA)"	"COLOMBIA, NARINO, FRANCISCO PIZARRO (SALAHONDA)"	14080	"francisco pizarro (salahonda)"	"narino"	"CO52520"
575	"SANTANDER"	"SAN BENITO"	"COLOMBIA, SANTANDER, SAN BENITO"	14274	"san benito"	"santander"	"CO68673"
576	"CAUCA"	"CALDONO"	"COLOMBIA, CAUCA, CALDONO"	13725	"caldono"	"cauca"	"CO19137"
577	"TOLIMA"	"DOLORES"	"COLOMBIA, TOLIMA, DOLORES"	14331	"dolores"	"tolima"	"CO73236"
578	"CHOCO"	"SAN JOSE DEL PALMAR"	"COLOMBIA, CHOCO, SAN JOSE DEL PALMAR"	13804	"san jose del palmar"	"choco"	"CO27660"
579	"CHOCO"	"SIPI"	"COLOMBIA, CHOCO, SIPI"	13805	"sipi"	"choco"	"CO27745"
580	"NORTE SANTANDER"	"CHITAGA"	"COLOMBIA, NORTE SANTANDER, CHITAGA"	14132	"chitaga"	"norte santander"	"CO54174"
581	"NARINO"	"ROBERTO PAYAN (SAN JOSE)"	"COLOMBIA, NARINO, ROBERTO PAYAN (SAN JOSE)"	14109	"roberto payan (san jose)"	"narino"	"CO52621"
582	"NARINO"	"EL CHARCO"	"COLOMBIA, NARINO, EL CHARCO"	14075	"el charco"	"narino"	"CO52250"
583	"BOYACA"	"PAYA"	"COLOMBIA, BOYACA, PAYA"	13603	"paya"	"boyaca"	"CO15533"
584	"VALLE"	"ANSERMANUEVO"	"COLOMBIA, VALLE, ANSERMANUEVO"	14366	"ansermanuevo"	"valle"	"CO76041"
585	"BOLIVAR"	"TURBANA"	"COLOMBIA, BOLIVAR, TURBANA"	13533	"turbana"	"bolivar"	"CO13838"
586	"SANTANDER"	"CONTRATACION"	"COLOMBIA, SANTANDER, CONTRATACION"	14228	"contratacion"	"santander"	"CO68211"
587	"CUNDINAMARCA"	"TENA"	"COLOMBIA, CUNDINAMARCA, TENA"	13929	"tena"	"cundinamarca"	"CO25797"
588	"CHOCO"	"ITSMINA"	"COLOMBIA, CHOCO, ITSMINA"	13794	"itsmina"	"choco"	"CO27361"
589	"HUILA"	"OPORAPA"	"COLOMBIA, HUILA, OPORAPA"	13992	"oporapa"	"huila"	"CO41503"
590	"SANTANDER"	"SAN JOAQUIN"	"COLOMBIA, SANTANDER, SAN JOAQUIN"	14276	"san joaquin"	"santander"	"CO68682"
593	"HUILA"	"PALESTINA"	"COLOMBIA, HUILA, PALESTINA"	13995	"palestina"	"huila"	"CO41530"
594	"SANTANDER"	"EL PENON"	"COLOMBIA, SANTANDER, EL PENON"	14233	"el penon"	"santander"	"CO68250"
595	"BOLIVAR"	"SAN PABLO"	"COLOMBIA, BOLIVAR, SAN PABLO"	13524	"san pablo"	"bolivar"	"CO13670"
596	"VAUPES"	"MITU"	"COLOMBIA, VAUPES, MITU"	14409	"mitu"	"vaupes"	"CO97001"
597	"NORTE SANTANDER"	"CACHIRA"	"COLOMBIA, NORTE SANTANDER, CACHIRA"	14129	"cachira"	"norte santander"	"CO54128"
598	"NORTE SANTANDER"	"LA PLAYA"	"COLOMBIA, NORTE SANTANDER, LA PLAYA"	14144	"la playa"	"norte santander"	"CO54398"
599	"NORTE SANTANDER"	"PAMPLONITA"	"COLOMBIA, NORTE SANTANDER, PAMPLONITA"	14151	"pamplonita"	"norte santander"	"CO54520"
