xmin	xmax	ocha_ID	epidemic_id	thres	duration	imax
2015-06-07	2015-11-22	CO13688	CO13688.5	0.00186252588237053	168	0.00682926156869193
2018-08-26	2019-12-01	CO13688	CO13688.6	0.00186252588237053	462	0.0198669427452856
2013-01-27	2013-05-12	CO13836	CO13836.1	0.000499679710801853	105	0.00149903913240556
2013-11-10	2014-10-19	CO13836	CO13836.3	0.000499679710801853	343	0.0047469572526176
2015-09-06	2015-11-08	CO13836	CO13836.4	0.000499679710801853	63	0.00149903913240556
2018-10-28	2019-03-03	CO13836	CO13836.5	0.000499679710801853	126	0.00199871884320741
2019-06-02	2019-12-22	CO13836	CO13836.6	0.000499679710801853	203	0.00524663696341946
2009-04-12	2010-02-14	CO15572	CO15572.2	0.00137541808895411	308	0.00687709044477057
2010-06-06	2011-01-09	CO15572	CO15572.3	0.00137541808895411	217	0.00550167235581646
2011-04-10	2011-05-22	CO15572	CO15572.4	0.00137541808895411	42	0.0036677815705443
2013-02-10	2014-04-13	CO15572	CO15572.6	0.00137541808895411	427	0.0036677815705443
2014-12-07	2015-01-04	CO15572	CO15572.7	0.00137541808895411	28	0.00275083617790823
2015-05-03	2015-11-22	CO15572	CO15572.8	0.00137541808895411	203	0.00916945392636076
2016-11-20	2017-01-01	CO15572	CO15572.9	0.00137541808895411	42	0.00504319965949842
2018-11-18	2019-08-25	CO15572	CO15572.10	0.00137541808895411	280	0.00916945392636076
2015-03-01	2015-06-07	CO17001	CO17001.3	6.30085574253156e-05	98	0.0036544963306683
2010-02-21	2010-07-25	CO17042	CO17042.1	0.000719738995278714	154	0.005038172966951
2016-01-31	2016-05-01	CO17042	CO17042.2	0.000719738995278714	91	0.00431843397167229
2016-05-22	2016-07-03	CO17042	CO17042.3	0.000719738995278714	42	0.00215921698583614
2006-12-31	2007-05-20	CO17174	CO17174.1	0.000978501077668052	140	0.00880650969901247
2009-11-01	2010-06-27	CO17174	CO17174.2	0.000978501077668052	238	0.0161452677815229
2010-07-11	2010-08-08	CO17174	CO17174.3	0.000978501077668052	28	0.0019570021553361
2013-04-21	2013-08-25	CO17174	CO17174.5	0.000978501077668052	126	0.00244625269417013
2013-12-15	2014-02-16	CO17174	CO17174.6	0.000978501077668052	63	0.00244625269417013
2014-04-06	2014-10-26	CO17174	CO17174.7	0.000978501077668052	203	0.00684950754367637
