simRound	simID	alphaRest	alphaAmp	alphaShift	infTicksCounts	avgVisitsCounts	pVisits	propSocialVisits	locPerSGCount	establishment
0.0	152.0	0.005619	0.0231	0.7337	4.2074	4.106	0.75227	0.4607	18.5731	0.98
0.0	153.0	0.020997	0.6759	0.4381	5.0314	3.1316	0.10967	0.4461	4.5701	0.96
0.0	154.0	0.019605	0.0387	0.1499	5.607	2.1236	0.61241	0.5527	3.3237	1.0
0.0	155.0	0.018939	0.9125	0.0349	5.7418	1.9684	0.71159	0.7021	11.4139	1.0
0.0	156.0	0.009297	0.8895	0.1123	4.2142	2.3068	0.41315	0.3133	4.9311	0.94
0.0	157.0	0.012465	0.2343	0.3627	5.9094	3.3092	0.15431	0.9665	5.3073	1.0
0.0	158.0	0.005745	0.8835	0.1155	4.017	2.4484	0.54113	0.4209	15.0505	0.92
0.0	159.0	0.019677	0.0683	0.5441	5.6434	4.2596	0.27923	0.7965	9.4569	1.0
0.0	160.0	0.007947	0.8005	0.7005	4.3898	4.1836	0.29075	0.4263	11.7749	0.93
0.0	161.0	0.001779	0.6167	0.0961	5.2894	2.2212	0.35501	0.3637	5.4745	0.1
0.0	162.0	0.009033	0.0375	0.3089	5.1522	1.026	0.06089	0.4185	10.3119	0.2
0.0	163.0	0.003297	0.7863	0.2725	4.3358	4.4156	0.11651	0.3657	3.0843	0.8
0.0	164.0	0.003327	0.9025	0.4003	4.3994	4.374	0.84299	0.0897	6.4359	0.22
0.0	165.0	0.022887	0.4691	0.7453	4.9762	1.3252	0.24215	0.0811	10.8173	0.94
0.0	166.0	0.014751	0.8007	0.7455	5.1358	3.6444	0.46949	0.6755	18.4629	1.0
0.0	167.0	0.024087	0.7977	0.5261	4.7274	3.0932	0.61979	0.6193	9.7077	0.86
0.0	168.0	0.006723	0.0745	0.4295	4.165	1.1676	0.09221	0.7303	17.2241	0.0
0.0	169.0	0.005883	0.6827	0.3629	4.0438	3.0516	0.41207	0.0203	3.3199	0.56
0.0	170.0	0.010911	0.2489	0.3217	5.3142	3.9044	0.54599	0.8921	4.9045	1.0
0.0	171.0	0.005025	0.2625	0.6409	5.1498	3.9316	0.66317	0.4459	7.9901	0.95
0.0	172.0	0.001563	0.6309	0.4177	4.5682	4.67	0.37535	0.3093	18.2311	0.06
0.0	173.0	0.000603	0.1923	0.9035	5.1754	4.8676	0.63635	0.0249	5.7975	0.0
0.0	174.0	0.028305	0.2213	0.3821	4.777	2.566	0.21389	0.4615	11.1859	0.99
0.0	175.0	0.005199	0.3753	0.6991	5.6982	3.7436	0.06539	0.1531	17.6383	0.83
0.0	176.0	0.029253	0.4703	0.0997	5.885	4.9004	0.66227	0.0473	19.7017	1.0
0.0	177.0	0.006327	0.4939	0.2273	5.5198	1.434	0.72977	0.6439	16.1449	0.54
0.0	178.0	0.026913	0.9253	0.9069	4.1962	3.2236	0.13685	0.7709	10.5247	1.0
0.0	179.0	0.022383	0.3125	0.6297	5.7318	2.0556	0.54401	0.9855	1.3325	0.21
0.0	180.0	0.010593	0.1929	0.7941	4.2286	1.6548	0.55859	0.0183	5.0945	0.78
0.0	181.0	0.015783	0.0507	0.6031	5.9626	4.5076	0.10787	0.0055	8.1915	1.0
0.0	182.0	0.019701	0.9215	0.4709	4.3266	1.2908	0.79025	0.6953	9.0617	0.0
0.0	183.0	0.027171	0.7429	0.4713	5.8382	1.522	0.60395	0.7521	5.6911	0.77
0.0	184.0	0.001503	0.4169	0.5243	5.9998	3.0052	0.42107	0.1947	15.8599	0.0
0.0	185.0	0.012099	0.9565	0.0615	5.1626	1.7324	0.32441	0.3817	6.0939	1.0
0.0	186.0	0.025257	0.1651	0.9579	5.6534	4.73	0.13541	0.6137	6.6791	1.0
0.0	187.0	0.028107	0.1813	0.6337	4.8858	3.9484	0.92399	0.9945	12.7629	1.0
0.0	188.0	0.008835	0.2675	0.1259	4.5146	3.1532	0.57425	0.5813	14.4729	0.99
0.0	189.0	0.007137	0.6459	0.6877	5.8682	4.2852	0.85757	0.2067	7.8875	0.99
0.0	190.0	0.017289	0.0421	0.8103	5.957	3.6548	0.36419	0.6633	15.6319	1.0
0.0	191.0	0.024945	0.2613	0.5617	5.615	4.6044	0.44699	0.2899	12.4437	1.0
0.0	192.0	0.006441	0.5951	0.9717	5.6586	2.0716	0.90761	0.0547	10.8287	0.94
0.0	193.0	0.014505	0.1063	0.9205	4.539	2.6468	0.45059	0.6885	4.5663	0.98
0.0	194.0	0.019557	0.0833	0.9097	5.089	1.1404	0.30389	0.6707	11.8433	0.92
0.0	195.0	0.024891	0.0733	0.5039	4.9786	1.3236	0.89753	0.0905	9.8331	0.97
0.0	196.0	0.020319	0.0139	0.5735	4.2158	1.8276	0.62879	0.4249	11.9801	0.99
0.0	197.0	0.000507	0.4715	0.7661	5.6034	4.5372	0.05675	0.8149	18.1133	0.0
0.0	198.0	0.005733	0.4575	0.7877	5.393	1.8876	0.47633	0.8719	14.6515	0.58
