ModelType	Round	Snapshot	TrainingLoss	TrainingRMSE	ValidationRMSE
establishment	6	5	-1.0300085544586182	0.006003199449537772	0.06531341286918413
establishment	6	6	-1.034305214881897	0.005284157249978314	0.06507414257685856
establishment	6	7	-1.0457173585891724	0.006241626309660527	0.06505282935443726
establishment	6	8	-1.059139370918274	0.006251112063971881	0.06506595877115712
establishment	6	9	-1.0504251718521118	0.006964957554247508	0.06519271316272143
establishment	6	10	-1.0658875703811646	0.006809716498025867	0.06513412917532044
establishment	6	11	-1.0654351711273193	0.006442595055041811	0.06502322334720533
establishment	6	12	-1.0672813653945923	0.00672490362540795	0.0651189948238653
establishment	6	13	-1.0766831636428833	0.007653160530635495	0.06521568454504488
establishment	6	14	-1.0648283958435059	0.007939427251194066	0.0653849773289217
establishment	6	15	-1.0645439624786377	0.008885689733483249	0.06535533551615928
establishment	6	16	-1.0777153968811035	0.008812641706618336	0.06542631761590156
establishment	6	17	-1.0865302085876465	0.00913027072248808	0.06537567717923043
establishment	6	18	-1.0695345401763916	0.00973591946857315	0.06545892024361397
establishment	6	19	-1.0917073488235474	0.009160957647130508	0.06540478310340689
establishment	6	20	-1.0895565748214722	0.01015174020287417	0.06549706221574787
establishment	6	21	-1.0805838108062744	0.010820951482581428	0.06565949966672618
establishment	6	22	-1.0926941633224487	0.010342340845059871	0.06549675850500071
establishment	6	23	-1.0884788036346436	0.01143595556316317	0.06568053953192764
establishment	6	24	-1.093170404434204	0.011963059893784421	0.06584446384681475
establishment	6	25	-1.0922894477844238	0.011489016292637207	0.06601876375146914
establishment	6	26	-1.0974782705307007	0.013013080807207115	0.06599058814344139
establishment	6	27	-1.0889016389846802	0.012532454920018725	0.0658944251028708
establishment	6	28	-1.0869301557540894	0.013464217563077408	0.06610675704485468
establishment	6	29	-1.0965230464935303	0.013901692803470202	0.06613505891675112
establishment	7	0	-0.8608059287071228	0.016610946335925973	0.07147845950031947
establishment	7	1	-0.9595332741737366	0.0037004453489132088	0.06682702864720444
establishment	7	2	-0.9990492463111877	0.00383798062895268	0.06545455981509413
establishment	7	3	-1.0232244729995728	0.004509982114708301	0.06475682597019418
establishment	7	4	-1.0368221998214722	0.0043280733474973165	0.06439595630905683
establishment	7	5	-1.0477391481399536	0.005784656084594474	0.06408037922587066
establishment	7	6	-1.0509185791015625	0.004940396881118731	0.06400528556177418
establishment	7	7	-1.061431884765625	0.006083142309077298	0.06406696008792878
establishment	7	8	-1.07136869430542	0.005928721321411454	0.06417695808448066
establishment	7	9	-1.0814909934997559	0.007134913569122526	0.06420066676143696
establishment	7	10	-1.0923693180084229	0.006934450927675608	0.06414608494778191
establishment	7	11	-1.0862116813659668	0.007627167161155428	0.06432821672546227
establishment	7	12	-1.0919790267944336	0.008242124504362763	0.06431378567287525
establishment	7	13	-1.0958396196365356	0.007789845067462145	0.06423267444751418
establishment	7	14	-1.1019713878631592	0.00840798066408868	0.06439687402014291
establishment	7	15	-1.108075737953186	0.00981189672328604	0.06458292045769871
