municipality	alphaRest	rmse	rank
CO76895	0.006122448979591836	0.5569081127629518	1
CO81001	0.009795918367346938	0.5569081127629518	1
CO81065	0.007346938775510204	0.5569081127629518	1
CO81736	0.00857142857142857	0.5569081127629518	1
CO81794	0.004285714285714285	0.5569081127629518	1
CO85001	0.015918367346938776	0.5569081127629518	1
CO85010	0.028163265306122447	0.5569081127629518	1
CO86001	0.006122448979591836	0.5569081127629518	1
CO86320	0.017755102040816324	0.5569081127629518	1
CO86568	0.00857142857142857	0.5569081127629518	1
CO86865	0.015306122448979591	0.5569081127629518	1
CO91001	0.029387755102040815	0.5569081127629518	1
CO95001	0.007346938775510204	0.5569081127629518	1
CO97001	0.012857142857142857	0.5569081127629518	1
CO99773	0.00673469387755102	0.5569081127629518	1
CO05001	0.009183673469387754	0.5583049474114762	2
CO05045	0.007959183673469388	0.5583049474114762	2
CO05051	0.007959183673469388	0.5583049474114762	2
CO05079	0.00857142857142857	0.5583049474114762	2
CO05088	0.00857142857142857	0.5583049474114762	2
CO05120	0.00857142857142857	0.5583049474114762	2
CO05147	0.007959183673469388	0.5583049474114762	2
CO05154	0.007346938775510204	0.5583049474114762	2
CO05172	0.007346938775510204	0.5583049474114762	2
CO05212	0.010408163265306122	0.5583049474114762	2
CO05250	0.010408163265306122	0.5583049474114762	2
CO05308	0.010408163265306122	0.5583049474114762	2
CO05360	0.007346938775510204	0.5583049474114762	2
CO05490	0.00857142857142857	0.5583049474114762	2
CO05579	0.009183673469387754	0.5583049474114762	2
CO05665	0.009183673469387754	0.5583049474114762	2
CO05736	0.011020408163265306	0.5583049474114762	2
CO05790	0.009183673469387754	0.5583049474114762	2
CO05837	0.007346938775510204	0.5583049474114762	2
CO05895	0.007959183673469388	0.5583049474114762	2
CO08001	0.00857142857142857	0.5583049474114762	2
CO08078	0.009183673469387754	0.5583049474114762	2
CO08296	0.010408163265306122	0.5583049474114762	2
CO08433	0.007959183673469388	0.5583049474114762	2
CO08573	0.00857142857142857	0.5583049474114762	2
CO08638	0.009183673469387754	0.5583049474114762	2
CO08758	0.007346938775510204	0.5583049474114762	2
CO13052	0.00857142857142857	0.5583049474114762	2
CO13244	0.00857142857142857	0.5583049474114762	2
CO13430	0.007959183673469388	0.5583049474114762	2
CO13468	0.009795918367346938	0.5583049474114762	2
CO13657	0.020816326530612245	0.5583049474114762	2
CO13670	0.00857142857142857	0.5583049474114762	2
CO13688	0.01346938775510204	0.5583049474114762	2
CO13836	0.007959183673469388	0.5583049474114762	2
CO15572	0.009795918367346938	0.5583049474114762	2
CO17042	0.00857142857142857	0.5583049474114762	2
CO17174	0.010408163265306122	0.5583049474114762	2
CO17380	0.009183673469387754	0.5583049474114762	2
CO18001	0.00857142857142857	0.5583049474114762	2
CO18150	0.00857142857142857	0.5583049474114762	2
CO18592	0.00857142857142857	0.5583049474114762	2
CO18753	0.011020408163265306	0.5583049474114762	2
CO19212	0.009183673469387754	0.5583049474114762	2
CO19455	0.00857142857142857	0.5583049474114762	2
CO19573	0.009795918367346938	0.5583049474114762	2
CO19698	0.00857142857142857	0.5583049474114762	2
CO20001	0.009183673469387754	0.5583049474114762	2
CO20011	0.010408163265306122	0.5583049474114762	2
CO20013	0.012244897959183673	0.5583049474114762	2
CO20060	0.011020408163265306	0.5583049474114762	2
CO20175	0.012857142857142857	0.5583049474114762	2
CO23001	0.009183673469387754	0.5583049474114762	2
CO23068	0.009795918367346938	0.5583049474114762	2
CO23162	0.007959183673469388	0.5583049474114762	2
